Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived_no,Survived_yes
21.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
39.0,0,0,29.7,True,False,False,False,True,True,False,False,True,False
47.0,1,0,7.0,False,False,True,True,False,False,False,True,True,False
25.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
30.0,0,0,15.5,False,False,True,False,True,False,True,False,True,False
30.0,2,1,19.2583,False,False,True,True,False,True,False,False,False,True
58.0,0,0,29.7,True,False,False,False,True,True,False,False,True,False
30.0,1,0,30.0708,False,True,False,False,True,True,False,False,True,False
36.0,1,2,27.75,False,True,False,False,True,False,False,True,True,False
18.0,0,0,9.8417,False,False,True,True,False,False,False,True,False,True
30.0,0,0,51.8625,True,False,False,False,True,False,False,True,True,False
39.0,1,5,31.275,False,False,True,True,False,False,False,True,True,False
37.0,0,1,29.7,True,False,False,False,True,True,False,False,True,False
41.0,0,0,7.125,False,False,True,False,True,False,False,True,True,False
19.0,0,0,10.1708,False,False,True,False,True,False,False,True,True,False
23.0,0,0,7.925,False,False,True,True,False,False,False,True,True,False
36.0,0,0,9.5,False,False,True,False,True,False,False,True,True,False
21.0,1,0,9.825,False,False,True,True,False,False,False,True,True,False
30.0,3,1,25.4667,False,False,True,True,False,False,False,True,True,False
22.0,0,0,9.0,False,False,True,False,True,False,False,True,True,False
42.0,1,0,52.0,True,False,False,False,True,False,False,True,True,False
30.0,3,1,25.4667,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
40.0,0,0,16.0,False,True,False,False,True,False,False,True,False,True
24.0,0,0,9.325,False,False,True,False,True,False,False,True,True,False
37.0,1,0,53.1,True,False,False,False,True,False,False,True,True,False
22.0,2,0,8.6625,False,False,True,True,False,False,False,True,True,False
30.0,0,0,7.725,False,False,True,False,True,False,True,False,True,False
42.0,0,0,7.55,False,False,True,False,True,False,False,True,True,False
40.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
4.0,0,2,81.8583,True,False,False,False,True,False,False,True,False,True
24.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
6.0,0,1,33.0,False,True,False,True,False,False,False,True,False,True
16.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
24.0,0,0,49.5042,True,False,False,True,False,True,False,False,False,True
30.0,0,0,8.05,False,False,True,False,True,False,False,True,False,True
20.0,2,1,23.0,False,True,False,True,False,False,False,True,False,True
30.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,15.5,False,False,True,True,False,False,True,False,False,True
18.0,0,0,8.3,False,False,True,False,True,False,False,True,True,False
45.0,0,0,7.75,False,False,True,True,False,False,False,True,True,False
30.0,0,0,6.4375,False,False,True,False,True,True,False,False,True,False
22.0,0,0,151.55,True,False,False,True,False,False,False,True,False,True
47.0,1,0,14.5,False,False,True,True,False,False,False,True,True,False
22.0,0,0,7.25,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
31.0,0,0,21.0,False,True,False,True,False,False,False,True,False,True
41.0,2,0,14.1083,False,False,True,False,True,False,False,True,True,False
24.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
32.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
32.0,0,0,8.05,False,False,True,False,True,False,False,True,False,True
